"SOC, 5C, full-cell 1","SOC, 5C, full-cell 2","SOC, 5C, full-cell 3","SOC, 5C, full-cell 4","SOC, 7.5C, full-cell 5","SOC, 7.5C, full-cell 6","SOC, 7.5C, full-cell 7","SOC, 3.75C, full-cell 8","SOC, 3.75C, full-cell 9","SOC, 3.75C, full-cell 10","SOC, 3.75C, full-cell 11","SOC, 3.75C, full-cell 12","Irrev. Li, 5C, full-cell 1","Irrev. Li, 5C, full-cell 2","Irrev. Li, 5C, full-cell 3","Irrev. Li, 5C, full-cell 4","Irrev. Li, 7.5C, full-cell 5","Irrev. Li, 7.5C, full-cell 6","Irrev. Li, 7.5C, full-cell 7","Irrev. Li, 3.75C, full-cell 8","Irrev. Li, 3.75C, full-cell 9","Irrev. Li, 3.75C, full-cell 10","Irrev. Li, 3.75C, full-cell 11","Irrev. Li, 3.75C, full-cell 12"
0.25,0.25,0.25,0.25,0.05,0.05,0.05,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0
0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.45,0.45,0.45,0.45,0.45,0,0,0,0,0,0,0,0,0,0,0,0
0.35,0.35,0.35,0.35,0.15,0.15,0.15,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.55,0.55,0.55,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0
0.45,0.45,0.45,0.45,0.25,0.25,0.25,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0.011164515,0,0,0.003528113,-0.003993093,0.001843473,0,0
0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.65,0.65,0.65,0.65,0.65,0,0.052926071,0.015260307,0.003883728,0.022925745,0.003496098,0.020864766,0.015752967,0.015385073,0.009960446,0.012581673,0.009089975
0.55,0.55,0.55,0.55,0.35,0.35,0.35,0.7,0.7,0.7,0.7,0.7,0.006803925,0.124465349,0.042006608,0.048067947,0.083070105,0.076752385,0.067896786,0.061401586,0.054781933,0.029947094,0.044457767,0.025187433
0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.75,0.75,0.75,0.75,0.75,0.053314472,0.26750135,0.120261252,0.155657454,0.27888304,0.160981846,0.181590189,0.155443082,0.140886834,0.056455831,0.072541854,0.051850311
0.65,0.65,0.65,0.65,0.45,0.45,0.45,0.8,0.8,0.8,0.8,0.8,0.134718436,0.525449383,0.238361953,0.363062318,0.575984254,0.342079895,0.411709439,0.309772053,0.267483248,0.094455711,0.131182655,0.106869444
0.7,0.7,0.7,0.7,0,0,0.5,0.85,0.85,0.85,0.85,0.85,0.275398377,0.868960014,0.426008471,0.732487893,0,0,0.755365836,0.601934463,0.488862541,0.163604764,0.244117581,0.209097551
0.75,0.75,0.75,0.75,0,0,0,0.9,0.9,0.9,0,0,0.514111566,1.125089938,0.670699217,1.251252955,0,0,0,0.991950982,0.803985915,0.238791338,0,0