SOC_0.85,V_0.85,SOC_0.9,V_0.9,SOC_0.95,V_0.95,SOC_0.98,V_0.98,SOC_1,V_1,V_0.98_old,V_0.85_old,V_0.9_old,V_0.95_old,SOC_0.9_old
0.085904805,4.076450794,0.119137797,4.122573415,0.125961688,4.124847713,0.121154862,4.129633989,0.121154862,4.137933989,4.136633989,4.066450794,4.117573415,4.124847713,0.109137797
0.103529834,4.064130057,0.134359413,4.108044196,0.143586716,4.111224266,0.13877989,4.1162162,0.13877989,4.1245162,4.1232162,4.054130057,4.103044196,4.111224266,0.124359413
0.121154862,4.056366305,0.150382166,4.095304642,0.158648104,4.102138514,0.156404919,4.10648338,0.156404919,4.11478338,4.11348338,4.046366305,4.090304642,4.102138514,0.140382166
0.13877989,4.050796657,0.168007194,4.084559158,0.175632222,4.095761772,0.174029947,4.100463659,0.174029947,4.108763659,4.107463659,4.040796657,4.079559158,4.095761772,0.158007194
0.156404919,4.047814926,0.185632222,4.076064038,0.193257251,4.091365527,0.191654975,4.096019192,0.191654975,4.104319192,4.103019192,4.037814926,4.071064038,4.091365527,0.175632222
0.174029947,4.046295931,0.203257251,4.070100577,0.210882279,4.087801113,0.209280004,4.092587389,0.209280004,4.100887389,4.099587389,4.036295931,4.065100577,4.087801113,0.193257251
0.191654975,4.046070894,0.220882279,4.065937405,0.228507308,4.084509957,0.226905032,4.089774435,0.226905032,4.098074435,4.096774435,4.036070894,4.060937405,4.084509957,0.210882279
0.209280004,4.046070894,0.238507308,4.06323697,0.246132336,4.082034558,0.244530061,4.08763659,0.244530061,4.09593659,4.09463659,4.036070894,4.05823697,4.082034558,0.228507308
0.226905032,4.046070894,0.256132336,4.061774234,0.263757364,4.080346785,0.262155089,4.086005077,0.262155089,4.094305077,4.093005077,4.036070894,4.056774234,4.080346785,0.246132336
0.244530061,4.046070894,0.273757364,4.061492938,0.281382393,4.079052827,0.279780117,4.084936155,0.279780117,4.093236155,4.091936155,4.036070894,4.056492938,4.079052827,0.263757364
0.262155089,4.046070894,0.291382393,4.062336824,0.299007421,4.078771531,0.297405146,4.084261046,0.297405146,4.092561046,4.091261046,4.036070894,4.057336824,4.078771531,0.281382393
0.279780117,4.046070894,0.309007421,4.06323697,0.316632449,4.078771531,0.315030174,4.084429823,0.315030174,4.092729823,4.091429823,4.036070894,4.05823697,4.078771531,0.299007421
0.297405146,4.045789599,0.326632449,4.06441841,0.334257478,4.079052827,0.332655202,4.085498745,0.332655202,4.093798745,4.092498745,4.035789599,4.05941841,4.079052827,0.316632449
0.315030174,4.045395786,0.344257478,4.065768628,0.351882506,4.080571822,0.350948349,4.087033771,0.350948349,4.095333771,4.094033771,4.035395786,4.060768628,4.080571822,0.334257478
0.332655202,4.044833195,0.361882506,4.067175105,0.369507535,4.082934703,0.367905259,4.089718176,0.367905259,4.098018176,4.096718176,4.034833195,4.062175105,4.082934703,0.351882506
0.350280231,4.044889454,0.379507535,4.0686941,0.387132563,4.085860175,0.385530288,4.092756166,0.385530288,4.101056166,4.099756166,4.034889454,4.0636941,4.085860175,0.369507535
0.367905259,4.045564563,0.397132563,4.070438131,0.404757591,4.089123201,0.403155316,4.096075451,0.403155316,4.104375451,4.103075451,4.035564563,4.065438131,4.089123201,0.387132563
0.385530288,4.046183413,0.414757591,4.072463458,0.42238262,4.092667523,0.420780344,4.099676032,0.420780344,4.107976032,4.106676032,4.036183413,4.067463458,4.092667523,0.404757591
0.403155316,4.047027299,0.43238262,4.07477008,0.439268136,4.096115194,0.438405373,4.103389131,0.438405373,4.111689131,4.110389131,4.037027299,4.06977008,4.096115194,0.42238262
0.420780344,4.048208739,0.450007648,4.07718922,0.457632676,4.100262498,0.456030401,4.107271007,0.456030401,4.115571007,4.114271007,4.038208739,4.07218922,4.100262498,0.440007648
0.438405373,4.049671475,0.467632676,4.079664619,0.475257705,4.104256892,0.47365543,4.111209142,0.47365543,4.119509142,4.118209142,4.039671475,4.074664619,4.104256892,0.457632676
0.456030401,4.051696802,0.485257705,4.082140018,0.492882733,4.108307545,0.491280458,4.115484832,0.491280458,4.123784832,4.122484832,4.041696802,4.077140018,4.108307545,0.475257705
0.47365543,4.054678533,0.502882733,4.08506549,0.510507762,4.112639494,0.508905486,4.119591744,0.508905486,4.127891744,4.126591744,4.044678533,4.08006549,4.112639494,0.492882733
0.491280458,4.058279113,0.520507762,4.088497294,0.52813279,4.11714022,0.526530515,4.124204988,0.526530515,4.132504988,4.131204988,4.048279113,4.083497294,4.11714022,0.510507762
0.508905486,4.062554803,0.53813279,4.092829242,0.547131197,4.122123434,0.544155543,4.12893075,0.544155543,4.13723075,4.13593075,4.052554803,4.087829242,4.122123434,0.52813279
0.526530515,4.067280565,0.555757818,4.097892559,0.5625283,4.126521983,0.561780571,4.133994067,0.561780571,4.142294067,4.140994067,4.057280565,4.092892559,4.126521983,0.545757818
0.544155543,4.072231364,0.573382847,4.103405948,0.581007875,4.132217651,0.5794056,4.139788752,0.5794056,4.148088752,4.146788752,4.062231364,4.098405948,4.132217651,0.563382847
0.561780571,4.077519717,0.591007875,4.109313151,0.598632904,4.138293631,0.597030628,4.14653984,0.597030628,4.15483984,4.15353984,4.067519717,4.104313151,4.138293631,0.581007875
0.5794056,4.083483179,0.608632904,4.115670426,0.616257932,4.144988461,0.614655657,4.152728338,0.614655657,4.161028338,4.159728338,4.073483179,4.110670426,4.144988461,0.598632904
0.597030628,4.090178008,0.626257932,4.122421515,0.63388296,4.1523584,0.632280685,4.160042018,0.632280685,4.168342018,4.167042018,4.080178008,4.117421515,4.1523584,0.616257932
0.614655657,4.097154133,0.64388296,4.129622677,0.651507989,4.160065893,0.649905713,4.167918288,0.649905713,4.176218288,4.174918288,4.087154133,4.124622677,4.160065893,0.63388296
0.632280685,4.10463659,0.661507989,4.137555206,0.669578094,4.16899525,0.667530742,4.17630089,0.667530742,4.18460089,4.18330089,4.09463659,4.132555206,4.16899525,0.651507989
0.649905713,4.112231565,0.679133017,4.146162844,0.686986942,4.178076298,0.68515577,4.185189824,0.68515577,4.193489824,4.192189824,4.102231565,4.141162844,4.178076298,0.669133017
0.667530742,4.120107835,0.696758045,4.156345737,0.704383074,4.186935926,0.702780799,4.194585089,0.702780799,4.202885089,4.201585089,4.110107835,4.151345737,4.186935926,0.686758045
0.68515577,4.128602956,0.714383074,4.168103883,0.722008102,4.197143198,0.720405827,4.204824241,0.720405827,4.213124241,4.211824241,4.118602956,4.163103883,4.197143198,0.704383074
0.702780799,4.137716926,0.732008102,4.180987211,0.7383742,4.206690734,0.738030855,4.215457206,0.738030855,4.223757206,4.222457206,4.127716926,4.175987211,4.206690734,0.722008102
0.720405827,4.147449745,0.749633131,4.194545648,0.757258159,4.21857533,0.755655884,4.227384129,0.755655884,4.235684129,4.234384129,4.137449745,4.189545648,4.21857533,0.739633131
0.738030855,4.157745156,0.767258159,4.207541494,0.774883187,4.230445994,0.772640002,4.239204049,0.772640002,4.247504049,4.246204049,4.147745156,4.202541494,4.230445994,0.757258159
0.755655884,4.168321862,0.784883187,4.220312303,0.788798848,4.241551952,0.79090594,4.252813231,0.79090594,4.261113231,4.259813231,4.158321862,4.215312303,4.241551952,0.774883187
0.773280912,4.179123604,0.802508216,4.233195631,0.803724143,4.251993219,0.808530969,4.265640299,0.808530969,4.273940299,4.272640299,4.169123604,4.228195631,4.251993219,0.792508216
0.79090594,4.1902629,0.820133244,4.245853923,0.821349171,4.264876547,0.826155997,4.278748664,0.826155997,4.287048664,4.285748664,4.1802629,4.240853923,4.264876547,0.810133244
0.808530969,4.201458456,0.837758272,4.258455955,0.8389742,4.277872393,0.843781026,4.291294437,0.843781026,4.299594437,4.298294437,4.191458456,4.253455955,4.277872393,0.827758272
0.826155997,4.212935307,0.855383301,4.271114247,0.856460296,4.290411267,0.861406054,4.303727692,0.861406054,4.312027692,4.310727692,4.202935307,4.266114247,4.290411267,0.845383301
0.843781026,4.224862231,0.873008329,4.283322466,0.874224256,4.302738904,0.879031082,4.315935911,0.879031082,4.324235911,4.322935911,4.214862231,4.278322466,4.302738904,0.863008329
0.861406054,4.237914336,0.890633358,4.295136871,0.891849285,4.314778346,0.896656111,4.327750317,0.896656111,4.336050317,4.334750317,4.227914336,4.290136871,4.314778346,0.880633358
0.879031082,4.251529032,0.908258386,4.306951277,0.909474313,4.326255197,0.914281139,4.3384958,0.914281139,4.3467958,4.3454958,4.241529032,4.301951277,4.326255197,0.898258386
0.895854973,4.264648648,0.925883414,4.317978055,0.927099342,4.336606866,0.929502755,4.346772916,0.929502755,4.355072916,4.353772916,4.254648648,4.312978055,4.336606866,0.915883414
0.911877726,4.277582609,0.940303892,4.324680922,0.939116406,4.343335248,0,-0.007,0,0,0,4.267582609,4.319680922,4.343335248,0.930303892
0.927900479,4.29125919,0,0,0,0,0,-0.007,0,0,0,4.28125919,0,0,0
0.939116406,4.299180467,0,0,0,0,0,-0.007,0,0,0,4.289180467,0,0,0